params,rank_by_CV_mean_test_rmse,CV_mean_train_rmse,CV_mean_test_rmse,mean_train_rmse,mean_test_rmse,Train Years,Validate Year,model
{},1,115024.27725678113,9948329558551926.0,116783.93531910556,112808.32260790493,[2016],[2017],Linear
{},1,111231.80081453954,1802548556472973.2,112679.63874069946,123131.26671303813,"[2016, 2017]",[2018],Linear
{},1,113020.1649748366,3206673912236038.5,114506.55902360674,105077.47309755409,"[2016, 2017, 2018]",[2019],Linear
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",1,115033.38380758044,158368.0294062729,116789.92750493712,112753.0624970409,[2016],[2017],Ridge
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",2,115024.2817685501,158532.3297453142,116783.994516686,112802.64369609451,[2016],[2017],Ridge
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",3,115024.18348561418,158557.0984385811,116783.93228661989,112808.25976018468,[2016],[2017],Ridge
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",4,115548.6134121155,159355.59886572993,117186.3461697726,112690.27150978021,[2016],[2017],Ridge
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",5,140376.61114304943,163102.67841267164,141288.51093992838,131894.8125364402,[2016],[2017],Ridge
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",6,121519.54941522508,163989.53652377322,123062.87037225063,116666.54392468293,[2016],[2017],Ridge
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",7,131365.36380803693,164025.92390052645,133561.4196234826,124643.88608512306,[2016],[2017],Ridge
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",8,172607.20677052473,194023.46089781602,169687.17552644844,162285.4934882758,[2016],[2017],Ridge
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",1,111393.26236266662,149290.80068770854,112795.13129551157,123116.91201866535,"[2016, 2017]",[2018],Ridge
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",2,111234.01949576121,150066.60334792326,112681.06303066738,123121.64600285205,"[2016, 2017]",[2018],Ridge
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",3,130713.973125689,150099.33242388364,131612.37124851008,138395.411657869,"[2016, 2017]",[2018],Ridge
"{'alpha': 0.01, 'max_iter': 10000, 'random_state': 0}",4,111231.81692689596,150248.32813699567,112679.636086812,123130.14311937802,"[2016, 2017]",[2018],Ridge
"{'alpha': 0.001, 'max_iter': 10000, 'random_state': 0}",5,111231.7940340198,150268.25681520204,112679.62146450407,123131.09494420925,"[2016, 2017]",[2018],Ridge
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",6,123470.23192601326,150609.1783335902,124904.42184526032,130666.66638406616,"[2016, 2017]",[2018],Ridge
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",7,114651.56135464332,150703.7169325723,115772.89446198057,124714.09993212529,"[2016, 2017]",[2018],Ridge
"{'alpha': 10000, 'max_iter': 10000, 'random_state': 0}",8,154504.18090426677,173688.31533570233,151910.08062963668,162116.50922527237,"[2016, 2017]",[2018],Ridge
"{'alpha': 1000, 'max_iter': 10000, 'random_state': 0}",1,130399.8171188442,146238.77514241825,131097.84068838737,113232.67255551668,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 100, 'max_iter': 10000, 'random_state': 0}",2,123618.2901863176,147085.86585050137,124641.24286694122,106929.50794832522,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 10, 'max_iter': 10000, 'random_state': 0}",3,115554.68081717334,147877.52782987859,116542.11394720763,103226.82115261028,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 1, 'max_iter': 10000, 'random_state': 0}",4,113115.7538382834,149490.742409852,114564.62639101151,104499.70218536575,"[2016, 2017, 2018]",[2019],Ridge
"{'alpha': 0.1, 'max_iter': 10000, 'random_state': 0}",5,113021.38708441197,150884.86435031338,114507.2662470763,105007.76427043577,"[2016, 2017, 2018]",[2019],Ridge
