GEO_ID,Year,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,geo_12,Number of Public Schools
1500000US170310302003,2013,1064,40.7,160893.0,450,7.3,1939.0,963.0,2.6,0.9163533834586466,0.0,0.6043478260869565,0.08888888888888889,170310302003,0.0
1500000US170310302004,2013,1828,26.7,60568.0,711,5.1,1939.0,1150.0,2.54,0.8183807439824945,0.08533916849015317,0.6380597014925373,0.0,170310302004,1.0
1500000US170310303001,2013,1306,36.1,28621.0,747,4.1,1945.0,868.0,2.04,0.5566615620214395,0.23124042879019907,0.6650717703349283,0.14323962516733602,170310303001,0.0
1500000US170310303002,2013,1625,35.7,38257.0,801,4.1,1943.0,838.0,2.22,0.7003076923076923,0.047384615384615386,0.5245901639344263,0.08489388264669163,170310303002,0.0
1500000US170310304001,2013,1450,36.0,26875.0,877,4.1,1961.0,732.0,1.85,0.6937931034482758,0.13379310344827586,0.4276729559748428,0.10490307867730901,170310304001,0.0
1500000US170310304002,2013,1139,35.0,66389.0,478,5.6,1939.0,1133.0,2.48,0.6733977172958736,0.07462686567164178,0.3931297709923664,0.03765690376569038,170310304002,0.0
1500000US170310305001,2013,1236,41.2,64773.0,658,5.5,1939.0,1324.0,2.09,0.7880258899676376,0.08656957928802589,0.32905982905982906,0.10030395136778116,170310305001,0.0
1500000US170310305002,2013,1909,40.5,54911.0,798,4.0,1939.0,971.0,2.33,0.5945521215295967,0.11995809324253535,0.49643705463182897,0.046365914786967416,170310305002,2.0
1500000US170310305003,2013,1691,33.2,57292.0,991,4.0,1939.0,908.0,2.2,0.8013010053222945,0.02956830277942046,0.6240409207161125,0.22300706357214933,170310305003,0.0
1500000US170310305004,2013,1752,33.1,56210.0,705,5.3,1939.0,1327.0,2.61,0.7654109589041096,0.041666666666666664,0.48125,0.04680851063829787,170310305004,0.0
1500000US170310306011,2013,783,26.2,23750.0,615,2.5,1939.0,863.0,1.8,0.565772669220945,0.14942528735632185,0.384,0.2943089430894309,170310306011,0.0
1500000US170310306012,2013,746,35.7,38984.0,452,2.9,1939.0,643.0,1.78,0.3900804289544236,0.4128686327077748,0.4,0.0752212389380531,170310306012,1.0
1500000US170310306013,2013,1640,49.9,37969.0,1273,3.4,1963.0,895.0,1.47,0.7,0.16158536585365854,0.22885572139303484,0.22152395915161036,170310306013,0.0
