,index,GEO_ID,Year,crime_count,total_pop,geo_12,crimes_per_capita
0,0,1500000US170310101001,2013,81,526,170310101001,0.15399239543726237
1,1,1500000US170310101001,2014,76,421,170310101001,0.18052256532066507
2,2,1500000US170310101001,2015,91,435,170310101001,0.20919540229885059
3,3,1500000US170310101001,2016,61,639,170310101001,0.09546165884194054
4,4,1500000US170310101001,2017,79,594,170310101001,0.132996632996633
5,5,1500000US170310101001,2018,49,491,170310101001,0.09979633401221996
6,6,1500000US170310101002,2013,381,2456,170310101002,0.15513029315960913
7,7,1500000US170310101002,2014,287,1525,170310101002,0.1881967213114754
8,8,1500000US170310101002,2015,293,1496,170310101002,0.19585561497326204
9,9,1500000US170310101002,2016,245,1768,170310101002,0.13857466063348417
10,10,1500000US170310101002,2017,335,2170,170310101002,0.1543778801843318
11,11,1500000US170310101002,2018,387,2197,170310101002,0.17614929449248976
12,12,1500000US170310101003,2013,213,2086,170310101003,0.10210930009587728
13,13,1500000US170310101003,2014,214,2243,170310101003,0.0954079358002675
14,14,1500000US170310101003,2015,154,2175,170310101003,0.07080459770114943
15,15,1500000US170310101003,2016,165,1981,170310101003,0.08329126703685008
16,16,1500000US170310101003,2017,163,1680,170310101003,0.09702380952380953
17,17,1500000US170310101003,2018,140,1834,170310101003,0.07633587786259542
18,18,1500000US170310102011,2013,109,1790,170310102011,0.06089385474860335
19,19,1500000US170310102011,2014,66,1716,170310102011,0.038461538461538464
20,20,1500000US170310102011,2015,54,1785,170310102011,0.030252100840336135
21,21,1500000US170310102011,2016,71,1417,170310102011,0.05010585744530699
22,22,1500000US170310102011,2017,84,1439,170310102011,0.05837387074357193
23,23,1500000US170310102011,2018,92,1401,170310102011,0.06566738044254104
24,24,1500000US170310102012,2013,340,4701,170310102012,0.0723250372261221
25,25,1500000US170310102012,2014,324,4592,170310102012,0.07055749128919861
26,26,1500000US170310102012,2015,265,4339,170310102012,0.061073980179764925
27,27,1500000US170310102012,2016,259,4641,170310102012,0.05580693815987934
28,28,1500000US170310102012,2017,357,4820,170310102012,0.07406639004149378
29,29,1500000US170310102012,2018,270,4187,170310102012,0.06448531167900645
30,30,1500000US170310102013,2013,70,825,170310102013,0.08484848484848485
31,31,1500000US170310102013,2014,68,775,170310102013,0.08774193548387096
32,32,1500000US170310102013,2015,42,1105,170310102013,0.03800904977375565
33,33,1500000US170310102013,2016,51,974,170310102013,0.052361396303901436
34,34,1500000US170310102013,2017,66,938,170310102013,0.07036247334754797
35,35,1500000US170310102013,2018,55,1451,170310102013,0.03790489317711923
36,36,1500000US170310102021,2013,467,1290,170310102021,0.362015503875969
37,37,1500000US170310102021,2014,366,1427,170310102021,0.2564821303433777
38,38,1500000US170310102021,2015,474,1052,170310102021,0.4505703422053232
39,39,1500000US170310102021,2016,439,1114,170310102021,0.3940754039497307
40,40,1500000US170310102021,2017,495,1268,170310102021,0.39037854889589907
41,41,1500000US170310102021,2018,588,1374,170310102021,0.4279475982532751
42,42,1500000US170310102022,2013,119,1293,170310102022,0.0920340293890178
43,43,1500000US170310102022,2014,100,1075,170310102022,0.09302325581395349
44,44,1500000US170310102022,2015,88,1252,170310102022,0.07028753993610223
45,45,1500000US170310102022,2016,90,1161,170310102022,0.07751937984496124
46,46,1500000US170310102022,2017,129,1219,170310102022,0.10582444626743231
47,47,1500000US170310102022,2018,101,1478,170310102022,0.06833558863328823
48,48,1500000US170310103001,2013,62,882,170310103001,0.07029478458049887
49,49,1500000US170310103001,2014,51,998,170310103001,0.05110220440881764
50,50,1500000US170310103001,2015,50,1010,170310103001,0.04950495049504951
51,51,1500000US170310103001,2016,42,1034,170310103001,0.04061895551257253
52,52,1500000US170310103001,2017,62,1098,170310103001,0.056466302367941715
53,53,1500000US170310103001,2018,52,976,170310103001,0.05327868852459016
54,54,1500000US170310103002,2013,148,2143,170310103002,0.06906206252916472
55,55,1500000US170310103002,2014,129,2200,170310103002,0.05863636363636364
